,NH3,ALCOHOL,CO2,NH4,TEMPERATURE,HUMIDITY,Type,Class,type
5,15.97,0.01,3.58,5.34,30,16,C,1,2
6,16.11,0.01,3.6,5.35,30,16,C,1,2
7,7.23,0.01,2.21,3.48,30,16,C,1,2
8,10.23,0.01,2.72,4.17,30,16,C,1,2
9,10.23,0.01,2.76,4.21,30,16,C,1,2
10,8.92,0.01,2.61,4.02,30,16,C,1,2
11,14.82,0.01,3.69,5.42,30,16,C,1,2
12,17.9,0.01,3.94,5.73,30,16,C,1,2
13,15.8,0.01,3.64,5.36,30,16,C,1,2
14,13.4,0.01,3.59,5.41,30,16,C,1,2
15,15.8,0.01,3.81,5.58,30,16,C,1,2
16,16.82,0.01,3.64,5.36,30,16,C,1,2
17,15.75,0.01,3.53,5.47,30,16,C,1,2
18,14.84,0.01,3.69,5.47,30,16,C,1,2
19,13.9,0.01,3.2,4.79,30,16,C,1,2
20,8.52,0.01,2.58,3.97,30,16,C,1,2
21,10.69,0.01,2.65,4.07,30,16,C,1,2
22,9.13,0.01,2.36,3.68,30,16,C,1,2
23,8.33,0.01,2.28,3.57,30,16,C,1,2
24,9.34,0.01,2.34,3.66,30,16,C,1,2
25,10.69,0.01,2.54,3.93,30,16,C,1,2
26,9.77,0.01,2.44,3.79,30,16,C,1,2
27,13.9,0.01,2.89,4.39,30,16,C,1,2
28,9.13,0.01,2.34,3.66,30,16,C,1,2
29,8.14,0.01,2.14,3.38,30,16,C,1,2
30,8.92,0.01,2.25,3.53,30,16,C,1,2
31,10.69,0.01,2.54,3.93,30,16,C,1,2
32,9.77,0.01,2.44,3.79,30,16,C,1,2
33,14.82,0.01,3.69,5.42,30,16,C,1,2
34,10.23,0.01,2.76,4.21,30,16,C,1,2
35,8.92,0.01,2.61,4.02,30,16,C,1,2
36,8.14,0.01,2.14,3.38,30,16,C,1,2
37,8.92,0.01,2.25,3.53,30,16,C,1,2
38,15.8,0.01,3.64,5.36,30,16,C,1,2
39,13.4,0.01,3.59,5.41,30,16,C,1,2
40,8.33,0.01,2.28,3.57,30,16,C,1,2
41,9.34,0.01,2.34,3.66,30,16,C,1,2
42,13.9,0.01,3.2,4.79,30,16,C,1,2
43,15.8,0.01,3.81,5.58,30,16,C,1,2
44,16.82,0.01,3.64,5.36,30,16,C,1,2
45,15.75,0.01,3.53,5.47,30,16,C,1,2
46,8.14,0.01,2.14,3.38,30,16,C,1,2
47,9.77,0.01,2.44,3.79,30,16,C,1,2
48,10.69,0.01,2.54,3.93,30,16,C,1,2
49,14.82,0.01,3.69,5.42,30,16,C,1,2
50,8.14,0.01,2.14,3.38,30,16,C,1,2
10A,12.21,0.01,2.54,3.93,30,16,C,1,2
10B,13.9,0.01,2.8,4.26,30,16,C,1,2
10C,11.69,0.01,2.47,3.84,30,16,C,1,2
10D,13.4,0.01,3.59,5.41,30,16,C,1,2
10E,14.82,0.01,3.69,5.42,30,16,C,1,2
1,33.13,0.01,5.82,8.03,27,17,D,1,3
2,26.26,0.01,4.74,6.73,27,17,D,1,3
3,37.13,0.01,5.85,8.07,27,17,D,1,3
4,22.4,0.01,4.36,6.26,27,17,D,1,3
5,19.84,0.01,3.6,5.3,27,17,D,1,3
6,26.78,0.01,4.83,6.84,27,17,D,1,3
7,26.26,0.01,4.74,6.73,27,17,D,1,3
8,19.84,0.01,3.6,5.3,27,17,D,1,3
9,33.77,0.01,4.48,6.4,27,17,D,1,3
10,21.52,0.01,4.25,6.13,27,17,D,1,3
11,37.13,0.01,5.85,8.07,27,17,D,1,3
12,21.52,0.01,4.25,6.13,27,17,D,1,3
13,37.13,0.01,5.85,8.07,27,17,D,1,3
14,22.4,0.01,4.36,6.26,27,17,D,1,3
15,26.26,0.01,4.74,6.73,27,17,D,1,3
16,19.84,0.01,3.6,5.3,27,17,D,1,3
17,26.78,0.01,4.83,6.84,27,17,D,1,3
18,20.25,0.01,3.62,5.33,27,17,D,1,3
19,32.51,0.01,4.45,6.37,27,17,D,1,3
20,21.09,0.01,3.74,5.48,27,17,D,1,3
21,20.67,0.01,3.64,5.36,27,17,D,1,3
22,22.4,0.01,4.36,6.26,27,17,D,1,3
23,21.09,0.01,3.74,5.48,27,17,D,1,3
24,31.89,0.01,5.44,7.57,27,17,D,1,3
25,33.77,0.01,4.48,6.4,27,17,D,1,3
26,19.44,0.01,3.55,5.24,27,17,D,1,3
27,22.4,0.01,4.36,6.26,27,17,D,1,3
28,24.75,0.01,4.59,6.54,27,17,D,1,3
29,32.51,0.01,4.45,6.37,27,17,D,1,3
30,31.89,0.01,5.44,7.57,27,17,D,1,3
31,19.44,0.01,3.55,5.24,27,17,D,1,3
32,22.86,0.01,4.42,6.33,27,17,D,1,3
33,24.75,0.01,4.59,6.54,27,17,D,1,3
34,19.44,0.01,3.55,5.24,27,17,D,1,3
35,32.51,0.01,4.45,6.37,27,17,D,1,3
36,20.67,0.01,3.64,5.36,27,17,D,1,3
37,33.77,0.01,4.48,6.4,27,17,D,1,3
38,30.1,0.01,5.44,7.57,27,17,D,1,3
39,25.75,0.01,4.71,6.69,27,17,D,1,3
40,19.05,0.01,3.48,5.15,27,17,D,1,3
41,22.86,0.01,4.42,6.33,27,17,D,1,3
42,30.1,0.01,5.44,7.57,27,17,D,1,3
43,20.25,0.01,3.99,5.8,27,17,D,1,3
44,33.13,0.01,4.48,6.4,27,17,D,1,3
45,20.67,0.01,3.64,5.36,27,17,D,1,3
46,19.05,0.01,3.48,5.15,27,17,D,1,3
47,21.52,0.01,3.64,5.36,27,17,D,1,3
48,30.1,0.01,5.44,7.57,27,17,D,1,3
49,19.05,0.01,3.48,5.15,27,17,D,1,3
50,22.86,0.01,4.42,6.33,27,17,D,1,3
10A,31.89,0.01,5.44,7.57,27,17,D,1,3
10B,24.75,0.01,4.59,6.54,27,17,D,1,3
10C,33.13,0.01,5.82,8.03,27,17,D,1,3
10D,26.78,0.01,4.83,6.84,27,17,D,1,3
10E,25.75,0.01,4.71,6.69,27,17,D,1,3
